# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 269:         5.520       52.458      -3.70  LELYSTAD
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 280:         6.585       53.125       5.20  EELDE
# 283:         6.657       52.069      29.10  HUPSEL
# 290:         6.891       52.274      34.80  TWENTHE
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 319:         3.861       51.226       1.70  WESTDORPE
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 370:         5.377       51.451      22.60  EINDHOVEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# T10N     = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TX, T10N
# 
  280,20161120,   75,  118,   25
  280,20161121,  112,  137,   68
  280,20161122,  108,  130,   30
  280,20161123,   70,  106,    2
  280,20161124,   51,   88,  -11
  280,20161125,   24,   52,   -7
  280,20161126,   24,   80,  -21
  280,20161127,   55,  100,  -68
  280,20161128,  -16,   42,  -97
  280,20161129,  -34,   26, -108
  280,20161130,   44,   78,  -35
  280,20161201,   83,  100,   55
  283,20161101,   86,  131,   18
  283,20161102,   65,  118,   20
  283,20161103,   59,   91,    6
  283,20161104,   70,   97,   38
  283,20161105,   67,   98,   44
  283,20161106,   62,   86,   38
  283,20161107,   44,   62,   25
  283,20161108,   19,   34,    3
  283,20161109,   28,   46,  -12
  283,20161110,   37,   45,   26
  283,20161111,   18,   48,  -71
  283,20161112,    9,   47,  -67
  283,20161113,   12,   42,  -66
  283,20161114,   15,   43,  -74
  283,20161115,   87,  114,   42
  283,20161116,  118,  139,   88
  283,20161117,   96,  117,   76
  283,20161118,   60,   86,   25
  283,20161119,   57,   80,   26
  283,20161120,   92,  137,   32
  283,20161121,  123,  141,   94
  283,20161122,  110,  129,   47
  283,20161123,   86,  125,   27
  283,20161124,   65,   87,   21
  283,20161125,   23,   70,  -38
  283,20161126,  -11,   12,  -29
  283,20161127,   44,   86,  -48
  283,20161128,  -11,   35,  -93
  283,20161129,  -38,   34, -110
  283,20161130,    2,   42, -110
  283,20161201,   64,   90,   36
  290,20161101,   85,  133,   -4
  290,20161102,   61,  108,    0
  290,20161103,   59,   91,   -3
  290,20161104,   73,   99,   44
  290,20161105,   65,   97,   42
  290,20161106,   64,   84,   37
  290,20161107,   41,   61,   21
  290,20161108,   12,   29,   -2
  290,20161109,   24,   40,  -16
  290,20161110,   35,   44,   29
  290,20161111,   14,   51,  -87
  290,20161112,    6,   43,  -82
  290,20161113,   12,   44,  -69
  290,20161114,   14,   44,  -78
  290,20161115,   87,  114,   43
  290,20161116,  114,  136,   37
  290,20161117,   95,  116,   74
  290,20161118,   59,   84,   28
  290,20161119,   54,   72,   23
  290,20161120,   91,  137,   31
  290,20161121,  122,  142,   86
  290,20161122,  112,  131,   41
  290,20161123,   82,  125,   14
  290,20161124,   59,   78,   13
  290,20161125,   16,   64,  -24
  290,20161126,  -10,   17,  -21
  290,20161127,   41,   89,  -70
  290,20161128,  -15,   36, -108
  290,20161129,  -41,   28, -122
  290,20161130,    8,   51, -104
  290,20161201,   70,   90,   46
  312,20161101,     ,     ,     
  312,20161102,     ,     ,     
  312,20161103,     ,     ,     
  312,20161104,     ,     ,     
  312,20161105,     ,     ,     
  312,20161106,     ,     ,     
  312,20161107,     ,     ,     
  312,20161108,     ,     ,     
  312,20161109,     ,     ,     
  312,20161110,     ,     ,     
  312,20161111,     ,     ,     
  312,20161112,     ,     ,     
  312,20161113,     ,     ,     
  312,20161114,     ,     ,     
  312,20161115,     ,     ,     
  312,20161116,     ,     ,     
  312,20161117,     ,     ,     
  312,20161118,     ,     ,     
  312,20161119,     ,     ,     
  312,20161120,     ,     ,     
  312,20161121,     ,     ,     
  312,20161122,     ,     ,     
  312,20161123,     ,     ,     
  312,20161124,     ,     ,     
  312,20161125,     ,     ,     
  312,20161126,     ,     ,     
  312,20161127,     ,     ,     
  312,20161128,     ,     ,     
  312,20161129,     ,     ,     
  312,20161130,     ,     ,     
  312,20161201,     ,     ,     
  319,20161101,   93,  152,   16
  319,20161102,   81,  112,   30
  319,20161103,   80,  122,   43
  319,20161104,   74,   90,   42
  319,20161105,   73,  105,   35
  319,20161106,   63,   91,   37
  319,20161107,   46,   74,  -31
  319,20161108,   27,   61,  -37
  319,20161109,   47,   66,    9
  319,20161110,   75,   94,   52
  319,20161111,   34,   66,  -40
  319,20161112,   27,   54,  -38
  319,20161113,   52,   68,   15
  319,20161114,   55,   79,  -11
  319,20161115,  114,  130,   78
  319,20161116,  126,  144,  104
  319,20161117,  101,  121,   75
  319,20161118,   56,   84,   14
  319,20161119,   60,   75,   39
  319,20161120,   96,  127,   52
  319,20161121,  128,  150,   95
  319,20161122,  106,  130,   30
  319,20161123,   83,  107,   50
  319,20161124,   78,  100,   41
  319,20161125,   41,   73,   -8
  319,20161126,   31,   69,  -29
  319,20161127,   56,   92,    1
  319,20161128,   19,   48,  -20
  319,20161129,   -9,   32,  -80
  319,20161130,    7,   56,  -84
  319,20161201,   47,   70,    3
  344,20161101,   90,  142,   10
  344,20161102,   79,  122,   14
  344,20161103,   81,  113,    4
  344,20161104,   82,   99,   67
  344,20161105,   73,  109,   18
  344,20161106,   71,  101,   38
  344,20161107,   52,   65,  -11
  344,20161108,   25,   70,  -62
  344,20161109,   39,   52,   11
  344,20161110,   50,   68,    9
  344,20161111,   25,   67,  -65
  344,20161112,   27,   56,  -63
  344,20161113,   42,   59,  -31
  344,20161114,   36,   82,  -46
  344,20161115,  117,  133,   79
  344,20161116,  120,  139,   81
  344,20161117,   95,  114,   71
  344,20161118,   64,   92,   34
  344,20161119,   60,   79,   42
  344,20161120,   83,  118,   49
  344,20161121,  122,  140,   75
  344,20161122,  107,  130,   22
  344,20161123,   81,  104,   20
  344,20161124,   70,   91,   31
  344,20161125,   34,   76,  -30
  344,20161126,    6,   42,  -48
  344,20161127,   67,  100,  -12
  344,20161128,    1,   43,  -74
  344,20161129,  -19,   38,  -97
  344,20161130,   34,   88,  -94
  344,20161201,   84,   95,   50
  370,20161101,   85,  143,   -2
  370,20161102,   72,  117,    5
  370,20161103,   65,  107,   -3
  370,20161104,   73,  105,   45
  370,20161105,   73,  111,   25
  370,20161106,   55,   76,   25
  370,20161107,   49,   64,   30
  370,20161108,   34,   61,  -32
  370,20161109,   34,   51,  -20
  370,20161110,   58,   90,   11
  370,20161111,   20,   57,  -75
  370,20161112,   21,   53,  -75
  370,20161113,   38,   49,   11
  370,20161114,   32,   60,  -34
  370,20161115,   98,  123,   53
  370,20161116,  122,  139,   86
  370,20161117,  100,  118,   73
  370,20161118,   57,   83,   20
  370,20161119,   60,   86,   17
  370,20161120,   99,  135,   39
  370,20161121,  126,  150,   94
  370,20161122,  108,  135,   27
  370,20161123,   89,  121,   20
  370,20161124,   78,   99,   33
  370,20161125,   41,   82,  -19
  370,20161126,   13,   61,  -59
  370,20161127,   49,   98,  -27
  370,20161128,    7,   46,  -63
  370,20161129,  -23,   42, -116
  370,20161130,   -5,   52, -123
  370,20161201,   52,   76,   22
  380,20161101,   98,  149,   44
  380,20161102,   73,  105,   45
  380,20161103,   65,  104,   35
  380,20161104,   71,  103,   44
  380,20161105,   73,  106,   52
  380,20161106,   54,   78,   33
  380,20161107,   43,   55,   27
  380,20161108,   30,   65,   -7
  380,20161109,   36,   57,   15
  380,20161110,   60,   79,   27
  380,20161111,   31,   54,  -13
  380,20161112,   34,   63,  -25
  380,20161113,   41,   58,   31
  380,20161114,   28,   51,  -37
  380,20161115,   75,  102,   45
  380,20161116,  113,  123,   96
  380,20161117,  105,  121,   85
  380,20161118,   72,  119,   34
  380,20161119,   60,   80,   42
  380,20161120,  104,  140,   48
  380,20161121,  131,  144,  108
  380,20161122,  108,  128,   67
  380,20161123,   97,  127,   68
  380,20161124,   80,  107,   41
  380,20161125,   42,   79,  -10
  380,20161126,   46,   69,  -15
  380,20161127,   43,   75,  -19
  380,20161128,    4,   32,  -30
  380,20161129,  -17,   25,  -68
  380,20161130,    0,   41,  -66
  380,20161201,   37,   56,   15
