# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 269:         5.520       52.458      -3.70  LELYSTAD
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 280:         6.585       53.125       5.20  EELDE
# 283:         6.657       52.069      29.10  HUPSEL
# 290:         6.891       52.274      34.80  TWENTHE
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 319:         3.861       51.226       1.70  WESTDORPE
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 370:         5.377       51.451      22.60  EINDHOVEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TX
# 
  240,20170802,  218
  240,20170803,  221
  240,20170804,  215
  240,20170805,  205
  240,20170806,  211
  240,20170807,  216
  240,20170808,  195
  240,20170809,  209
  240,20170810,  204
  240,20170811,  205
  240,20170812,  216
  240,20170813,  207
  240,20170814,  244
  240,20170815,  216
  240,20170816,  230
  240,20170817,  202
  240,20170818,  210
  240,20170819,  193
  240,20170820,  196
  240,20170821,  213
  240,20170822,  232
  240,20170823,  253
  240,20170824,  211
  240,20170825,  224
  240,20170826,  240
  240,20170827,  246
  240,20170828,  259
  240,20170829,  276
  240,20170830,  200
  240,20170831,  196
  240,20170901,  188
  240,20170902,  193
  240,20170903,  204
  240,20170904,  216
  240,20170905,  222
  240,20170906,  187
  240,20170907,  193
  240,20170908,  168
  240,20170909,  182
  240,20170910,  187
  240,20170911,  177
  240,20170912,  175
  240,20170913,  176
  240,20170914,  159
  240,20170915,  167
  240,20170916,  136
  240,20170917,  163
  240,20170918,  169
  240,20170919,  171
  240,20170920,  180
  240,20170921,  187
  240,20170922,  172
  240,20170923,  184
  240,20170924,  190
  240,20170925,  180
  240,20170926,  159
  240,20170927,  196
  240,20170928,  193
  240,20170929,  228
  240,20170930,  162
  240,20171001,  171
  240,20171002,  176
  240,20171003,  168
  240,20171004,  158
  240,20171005,  158
  240,20171006,  147
  240,20171007,  151
  240,20171008,  153
  240,20171009,  145
  240,20171010,  164
  240,20171011,  160
  240,20171012,  159
  240,20171013,  188
  240,20171014,  195
  240,20171015,  215
