# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# 
# STN,YYYYMMDD,   RH
# 
  380,20110110,    0
  380,20110111,   14
  380,20110112,  137
  380,20110113,  214
  380,20110114,   20
  380,20110115,   -1
  380,20110116,    0
  380,20110117,   -1
  380,20110118,   28
  380,20110119,   33
  380,20110120,   11
  380,20110121,    3
  380,20110122,   35
  380,20110123,   19
  380,20110124,   50
  380,20110125,   34
  380,20110126,   -1
  380,20110127,   -1
  380,20110128,    0
  380,20110129,    0
  380,20110130,    0
  380,20110131,   -1
  380,20110201,   18
  380,20110202,    9
  380,20110203,   29
  380,20110204,    0
  380,20110205,    0
  380,20110206,    0
  380,20110207,   -1
  380,20110208,    2
  380,20110209,    0
  380,20110210,   75
  380,20110211,  176
  380,20110212,    3
  380,20110213,    0
  380,20110214,   84
  380,20110215,    6
  380,20110216,    0
  380,20110217,    0
  380,20110218,    0
  380,20110219,    0
  380,20110220,   10
  380,20110221,   -1
  380,20110222,    0
  380,20110223,   21
  380,20110224,   13
  380,20110225,    9
  380,20110226,   41
  380,20110227,   65
  380,20110228,    7
  380,20110301,    0
  380,20110302,    0
  380,20110303,    0
  380,20110304,    0
  380,20110305,    0
  380,20110306,    0
  380,20110307,    0
  380,20110308,    0
  380,20110309,   23
  380,20110310,   -1
  380,20110311,   -1
  380,20110312,    3
  380,20110313,    7
  380,20110314,   10
  380,20110315,    0
  380,20110316,    0
  380,20110317,    1
  380,20110318,   52
  380,20110319,    5
  380,20110320,    0
  380,20110321,    0
  380,20110322,    0
  380,20110323,    0
  380,20110324,    0
  380,20110325,    0
  380,20110326,    0
  380,20110327,    0
  380,20110328,    0
  380,20110329,    0
  380,20110330,   -1
  380,20110331,   66
  380,20110401,    0
  380,20110402,    0
  380,20110403,   55
  380,20110404,   -1
  380,20110405,   12
  380,20110406,    0
  380,20110407,    0
  380,20110408,    0
  380,20110409,    0
  380,20110410,    0
  380,20110411,    1
  380,20110412,   17
  380,20110413,   -1
  380,20110414,    0
  380,20110415,    0
  380,20110416,    0
  380,20110417,    0
  380,20110418,    0
  380,20110419,    0
  380,20110420,    0
  380,20110421,    0
  380,20110422,   20
  380,20110423,   -1
  380,20110424,    0
  380,20110425,    0
  380,20110426,    0
  380,20110427,   18
  380,20110428,    9
  380,20110429,   -1
  380,20110430,    0
  380,20110501,    0
  380,20110502,    0
  380,20110503,    0
  380,20110504,    0
  380,20110505,    0
  380,20110506,   -1
  380,20110507,    0
  380,20110508,    0
  380,20110509,    1
  380,20110510,   -1
  380,20110511,    0
  380,20110512,    0
  380,20110513,    0
  380,20110514,   -1
  380,20110515,   39
  380,20110516,    2
  380,20110517,    3
  380,20110518,    0
  380,20110519,    0
  380,20110520,    0
  380,20110521,    0
  380,20110522,   11
  380,20110523,    0
  380,20110524,    0
  380,20110525,    0
  380,20110526,   -1
  380,20110527,    2
  380,20110528,    0
  380,20110529,    0
  380,20110530,    0
  380,20110531,  134
  380,20110601,    0
  380,20110602,    0
  380,20110603,    0
  380,20110604,    7
  380,20110605,   17
  380,20110606,   21
  380,20110607,  185
  380,20110608,   -1
  380,20110609,    0
  380,20110610,  246
  380,20110611,   62
  380,20110612,    0
  380,20110613,    5
  380,20110614,    0
  380,20110615,    9
  380,20110616,   46
  380,20110617,   13
  380,20110618,   35
  380,20110619,    5
  380,20110620,   35
  380,20110621,    9
  380,20110622,   45
  380,20110623,   62
  380,20110624,   56
  380,20110625,   20
  380,20110626,    0
  380,20110627,    0
  380,20110628,  134
  380,20110629,   -1
  380,20110630,    2
  380,20110701,    4
  380,20110702,    0
  380,20110703,    0
  380,20110704,    0
  380,20110705,    0
  380,20110706,    4
  380,20110707,   -1
  380,20110708,   -1
  380,20110709,    3
  380,20110710,   -1
  380,20110711,    0
  380,20110712,   15
  380,20110713,   39
  380,20110714,   41
  380,20110715,    0
  380,20110716,   74
  380,20110717,   51
  380,20110718,    2
  380,20110719,   42
  380,20110720,   16
  380,20110721,   14
  380,20110722,   -1
  380,20110723,   11
  380,20110724,   48
  380,20110725,   40
  380,20110726,   12
  380,20110727,   24
  380,20110728,   11
  380,20110729,    0
  380,20110730,   -1
  380,20110731,    0
  380,20110801,    0
  380,20110802,    0
  380,20110803,   16
  380,20110804,   24
  380,20110805,   -1
  380,20110806,   26
  380,20110807,   -1
  380,20110808,  121
  380,20110809,   52
  380,20110810,    0
  380,20110811,    8
  380,20110812,   36
  380,20110813,   54
  380,20110814,  137
  380,20110815,    0
  380,20110816,   12
  380,20110817,    0
  380,20110818,  183
  380,20110819,    4
  380,20110820,    0
  380,20110821,    2
  380,20110822,  227
  380,20110823,   11
  380,20110824,   -1
  380,20110825,   -1
  380,20110826,  140
  380,20110827,   33
  380,20110828,   18
  380,20110829,   -1
  380,20110830,   -1
  380,20110831,    0
  380,20110901,    0
  380,20110902,    0
  380,20110903,   -1
  380,20110904,   90
  380,20110905,    4
  380,20110906,   64
  380,20110907,   44
  380,20110908,   79
  380,20110909,   15
  380,20110910,    0
  380,20110911,   41
  380,20110912,   -1
  380,20110913,   -1
  380,20110914,    0
  380,20110915,    0
  380,20110916,   -1
  380,20110917,   30
  380,20110918,   12
  380,20110919,   11
  380,20110920,   -1
  380,20110921,    0
  380,20110922,    0
  380,20110923,    0
  380,20110924,    0
  380,20110925,    0
  380,20110926,   -1
  380,20110927,    0
  380,20110928,    0
  380,20110929,    0
  380,20110930,    0
  380,20111001,    0
  380,20111002,    0
  380,20111003,    0
  380,20111004,   -1
  380,20111005,    4
  380,20111006,   53
  380,20111007,   55
  380,20111008,   66
  380,20111009,   21
  380,20111010,    0
  380,20111011,    3
  380,20111012,   53
  380,20111013,    0
  380,20111014,    0
  380,20111015,    0
  380,20111016,    0
  380,20111017,    0
  380,20111018,   36
  380,20111019,    6
  380,20111020,   -1
  380,20111021,    0
  380,20111022,    0
  380,20111023,    0
  380,20111024,    2
  380,20111025,   34
  380,20111026,    0
  380,20111027,    0
  380,20111028,    0
  380,20111029,   -1
  380,20111030,    0
  380,20111031,    0
  380,20111101,    5
